TIME;APPARENT TEMPERATURE;SNOWFALL
2022-12-28T23:00;5.6;false
2022-12-29T00:00;5.2;false
2022-12-29T01:00;5;false
2022-12-29T02:00;4.8;false
2022-12-29T03:00;4.5;false
2022-12-29T04:00;4.2;false
2022-12-29T05:00;3.8;false
2022-12-29T06:00;3.7;false
2022-12-29T07:00;4;false
2022-12-29T08:00;4.5;false
2022-12-29T09:00;5.6;false
2022-12-29T10:00;7.1;false
2022-12-29T11:00;9;false
2022-12-29T12:00;10.8;false
2022-12-29T13:00;11.3;false
2022-12-29T14:00;11.3;false
2022-12-29T15:00;10.9;false
2022-12-29T16:00;10.4;false
2022-12-29T17:00;9.7;false
2022-12-29T18:00;8.9;false
2022-12-29T19:00;8.8;false
2022-12-29T20:00;8.8;false
2022-12-29T21:00;8.8;false
2022-12-29T22:00;8.8;false
2022-12-29T23:00;8.9;false
2022-12-30T00:00;8.7;false
2022-12-30T01:00;8.3;false
2022-12-30T02:00;7.7;false
2022-12-30T03:00;7.1;false
2022-12-30T04:00;7;false
2022-12-30T05:00;7.1;false
2022-12-30T06:00;7.2;false
2022-12-30T07:00;6.6;false
2022-12-30T08:00;8.1;false
2022-12-30T09:00;10.2;false
2022-12-30T10:00;12;false
2022-12-30T11:00;14;false
2022-12-30T12:00;15.5;false
2022-12-30T13:00;15.3;false
2022-12-30T14:00;14.3;false
2022-12-30T15:00;12.5;false
2022-12-30T16:00;11;false
2022-12-30T17:00;9.3;false
2022-12-30T18:00;7.4;false
2022-12-30T19:00;6.6;false
2022-12-30T20:00;6.1;false
2022-12-30T21:00;5.8;false
2022-12-30T22:00;5.6;false
2022-12-30T23:00;5.5;false
2022-12-31T00:00;5.5;false
2022-12-31T01:00;5.7;false
2022-12-31T02:00;6.1;false
2022-12-31T03:00;6.7;false
2022-12-31T04:00;7.1;false
2022-12-31T05:00;7.7;false
2022-12-31T06:00;8.6;false
2022-12-31T07:00;9.5;false
2022-12-31T08:00;10.5;false
2022-12-31T09:00;12;false
2022-12-31T10:00;13.4;false
2022-12-31T11:00;14.9;false
2022-12-31T12:00;16.2;false
2022-12-31T13:00;16;false
2022-12-31T14:00;15.2;false
2022-12-31T15:00;14;false
2022-12-31T16:00;13.2;false
2022-12-31T17:00;12.3;false
2022-12-31T18:00;11.2;false
2022-12-31T19:00;10.7;false
2022-12-31T20:00;10.2;false
2022-12-31T21:00;9.6;false
2022-12-31T22:00;9;false
2022-12-31T23:00;8.4;false
